,Admission into Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction  ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics  (Delivering Well Prepared Teachers Policy),Early Childhood (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science and Social Studies  ( (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation (Delivering Well Prepared Teachers Policy),Special Education Preparation in Reading (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge (Delivering Well Prepared Teachers Policy),Student Teaching (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part-Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness (Identifying Effective Teachers Policy),Frequency of Evaluations (Identifying Effective Teachers Policy),Tenure (Identifying Effective Teachers Policy),Licensure Advancement (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),New Teacher Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales and Performance Pay (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Extended Emergency Licenses (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy),Pension Flexibility (Pensions Policy),Pension Sustainability (Pensions Policy),Pension Neutrality (Pensions Policy),Pension Transparency (Pensions Policy)
MI,4.0,0.0,1.0,1.0,,1.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,1.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0
MS,4.0,1.0,3.0,1.0,,3.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0
MT,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NJ,4.0,3.0,0.0,4.0,0.0,3.0,3.0,2.0,3.0,0.0,4.0,2.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0
NY,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,5.0,0.0,4.0,3.0,4.0,1.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,2.0,1.0
NC,4.0,1.0,4.0,4.0,,2.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,4.0,0.0,3.0,3.0,4.0,3.0,2.0,0.0,4.0,4.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
OK,4.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0
OR,4.0,1.0,3.0,1.0,,1.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
SC,4.0,3.0,2.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,1.0
TN,4.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0
TX,4.0,3.0,2.0,4.0,,4.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,2.0,1.0
UT,4.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,2.0,0.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0
VA,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0
PA,3.0,1.0,3.0,1.0,,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0
CT,2.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
KY,2.0,3.0,0.0,4.0,,3.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0
MO,2.0,3.0,1.0,4.0,0.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0
NH,2.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0
WA,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,4.0,1.0
WI,2.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0
FL,1.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,0.0,4.0,1.0,4.0,5.0,5.0,0.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0
IL,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,4.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,3.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0
IA,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0
NE,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0
SD,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,3.0
AK,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,2.0
AZ,0.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0
CA,0.0,2.0,5.0,2.0,,0.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
CO,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,4.0,3.0,5.0,0.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0
ID,0.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0
KS,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0
ME,0.0,3.0,0.0,3.0,,0.0,3.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,4.0,2.0
MD,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
MA,0.0,2.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,4.0,4.0,5.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0
MN,0.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,0.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,1.0
NV,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,2.0,4.0,1.0,0.0,2.0,1.0
NM,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,4.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0
ND,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
OH,0.0,0.0,3.0,0.0,,3.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,0.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0
VT,0.0,3.0,1.0,4.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
WY,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0
US,2.25,1.69,1.71,2.39,0.78,2.06,2.39,1.06,0.8,1.0,3.06,1.98,1.59,1.8,1.53,2.75,1.1,1.22,2.12,2.55,2.27,1.33,0.71,1.71,2.24,2.63,1.61,1.73,0.41,1.84,1.49,1.53,1.39,1.59,2.16,1.08
