,Admission into Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction  ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics  (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge (Delivering Well Prepared Teachers Policy),Student Teaching (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part-Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness (Identifying Effective Teachers Policy),Frequency of Evaluations (Identifying Effective Teachers Policy),Tenure (Identifying Effective Teachers Policy),Licensure Advancement (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Performance Pay (Retaining Effective Teachers Policy),Extended Emergency Licenses (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy)
KY,2.0,3.0,0.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0
NC,2.0,2.0,3.0,4.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,4.0,0.0,4.0,3.0,4.0,3.0,2.0,0.0,4.0,4.0,5.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0
SC,2.0,2.0,0.0,3.0,5.0,3.0,0.0,0.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0
TN,2.0,0.0,4.0,1.0,3.0,5.0,4.0,1.0,4.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,3.0,4.0
WA,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0
WV,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
WI,2.0,0.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
AL,1.0,3.0,4.0,3.0,4.0,3.0,0.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
AR,1.0,3.0,2.0,4.0,4.0,3.0,3.0,0.0,4.0,2.0,0.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0
FL,1.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,0.0,2.0,1.0,4.0,5.0,0.0,4.0,5.0,0.0,5.0,5.0
IL,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,3.0,4.0
IA,1.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
LA,1.0,0.0,2.0,1.0,4.0,2.0,0.0,2.0,4.0,0.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,0.0,5.0,3.0,3.0,4.0,4.0,0.0,2.0,4.0
MI,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,5.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0,2.0,4.0
MO,1.0,0.0,2.0,1.0,4.0,3.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0
NE,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
NH,1.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
OK,1.0,2.0,4.0,1.0,1.0,3.0,2.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0,5.0,4.0
OR,1.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
PA,1.0,2.0,3.0,1.0,4.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
AK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
AZ,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,3.0,1.0,4.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0
CA,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0
CO,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,0.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,5.0,3.0,5.0
DC,0.0,3.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
ID,0.0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
KS,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,0.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,4.0
MD,0.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
MA,0.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0
MN,0.0,2.0,4.0,3.0,2.0,4.0,4.0,0.0,4.0,2.0,0.0,4.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0
MT,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,3.0
NM,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0
NY,0.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,3.0,0.0
ND,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
OH,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0
SD,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
VT,0.0,2.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
VA,0.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0
WY,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0
US,1.14,1.55,1.98,1.96,2.37,2.43,1.51,0.75,2.49,1.51,1.33,1.76,1.57,2.65,0.98,1.82,2.33,2.55,2.24,1.25,0.59,1.47,2.27,2.18,1.69,0.41,1.63,1.73,1.6,1.51,1.57
