,Program Performance Measures (General Teacher Preparation Policy),Requirements for Out-of-State Teachers (Hiring Policy),Measures of Student Growth (Teacher and Principal Evaluation Policy),Measures of Professional Practice (Teacher and Principal Evaluation Policy),Frequency of Evaluation and Observation (Teacher and Principal Evaluation Policy),Linking Evaluation to Professional Growth (Teacher and Principal Evaluation Policy),Principal Effectiveness (Teacher and Principal Evaluation Policy),Principal Evaluation and Observation (Teacher and Principal Evaluation Policy),Leadership Opportunities (Retaining Effective Teachers Policy),Content Knowledge (Elementary Teacher Preparation Policy),Teaching Mathematics (Elementary Teacher Preparation Policy),Content Knowledge (Special Education Teacher Preparation Policy)
NE,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
NV,2.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0
OK,2.0,2.0,0.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,0.0
SC,2.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0
VT,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0
WV,2.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,4.0,0.0
AZ,1.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0
CA,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
KS,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
MD,1.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0
MS,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0
MT,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NH,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
PA,1.0,3.0,4.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0
WI,1.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0
AK,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0
HI,0.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0
ID,0.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0
NY,0.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0
ND,0.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0
OR,0.0,2.0,4.0,2.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0
SD,0.0,1.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0
UT,0.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0
WY,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0
US,2.1,1.8,2.63,2.2,1.86,2.82,2.45,1.8,1.55,1.69,2.49,0.65
