,Admission into Preparation Programs (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Social Studies ( (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge (Delivering Well Prepared Teachers Policy),Student Teaching (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness (Identifying Effective Teachers Policy),Frequency of Evaluations (Identifying Effective Teachers Policy),Tenure (Identifying Effective Teachers Policy),Licensure Advancement (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Performance Pay (Retaining Effective Teachers Policy),Pension Flexibility (Retaining Effective Teachers Policy),Pension Sustainability (Retaining Effective Teachers Policy),Pension Neutrality (Retaining Effective Teachers Policy),Licensure Loopholes (Exiting Ineffective Teachers Policy),Unsatisfactory Evaluations (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy)
TN,4.0,2.0,5.0,2.0,4.0,6.0,3.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,6.0,3.0,1.0,3.0,4.0,4.0
WV,4.0,2.0,3.0,1.0,3.0,5.0,4.0,3.0,3.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0
AR,3.0,2.0,3.0,1.0,6.0,5.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,5.0,5.0,6.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0
IL,3.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,6.0,6.0,4.0,5.0
IA,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0
MO,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0
NE,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
WA,3.0,3.0,3.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,5.0,1.0,1.0
FL,2.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,6.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,1.0,2.0,2.0,4.0,6.0,1.0,5.0,6.0,3.0,5.0,3.0,1.0,5.0,5.0,6.0
WI,2.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,6.0,3.0,1.0,1.0,3.0,1.0
AL,1.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,6.0,5.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0
AK,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,5.0,6.0,1.0,5.0,1.0,1.0
AZ,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0
CA,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0
CO,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,6.0,5.0,4.0,6.0
DE,1.0,1.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,3.0,1.0
DC,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,6.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0
ID,1.0,1.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0
KS,1.0,2.0,1.0,2.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0
KY,1.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0
ME,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0
MD,1.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,5.0,1.0,2.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
MA,1.0,4.0,6.0,6.0,3.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0
MI,1.0,3.0,3.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,6.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,6.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0
MN,1.0,4.0,5.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,2.0,5.0,1.0,3.0,1.0,1.0
MT,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
NV,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,4.0
NH,1.0,4.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
NJ,1.0,2.0,1.0,1.0,5.0,5.0,6.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0
NM,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0
NY,1.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,4.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0
ND,1.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0
OH,1.0,1.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0
OK,1.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,1.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,4.0,6.0,6.0,5.0
OR,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0
PA,1.0,1.0,5.0,2.0,6.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,1.0,3.0,5.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0
SD,1.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,5.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0
UT,1.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,5.0
VT,1.0,1.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
VA,1.0,2.0,6.0,2.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0
WY,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0
US,2.02,1.9,2.57,1.94,2.96,3.78,3.0,2.65,1.67,3.14,2.14,2.02,2.88,2.61,3.63,1.82,2.18,4.33,2.73,2.86,1.84,1.41,1.94,3.2,2.82,2.53,1.33,2.73,2.61,2.51,2.63,2.84,2.59,3.02,2.0,2.16
