,Teacher Shortages and Surpluses (General Teacher Preparation Policy),Data Systems Needed for Evaluation (Teacher and Principal Evaluation Policy),Distributing Teacher Talent Equitably (Teacher and Principal Evaluation Policy),Performance (Teacher Compensation Policy),High-Need Schools and Subjects (Teacher Compensation Policy),Prior Work (Teacher Compensation Policy),Licensure Advancement (Retaining Effective Teachers Policy),Tenure (Retaining Effective Teachers Policy),Dismissal (Retaining Effective Teachers Policy),Layoffs (Retaining Effective Teachers Policy),Student Teaching/Clinical Practice (General Teacher Preparation Policy),Adolescent Literacy (Secondary Teacher Preparation Policy),Licensure Deficiencies (Special Education Teacher Preparation Policy),Program Entry (Alternate Routes Policy),Preparation for the Classroom (Alternate Routes Policy),Requirements for Out-of-State Teachers (Hiring Policy),Measures of Student Growth (Teacher and Principal Evaluation Policy),Measures of Professional Practice (Teacher and Principal Evaluation Policy),Frequency of Evaluation and Observation (Teacher and Principal Evaluation Policy),Linking Evaluation to Professional Growth (Teacher and Principal Evaluation Policy),Principal Effectiveness (Teacher and Principal Evaluation Policy),Principal Evaluation and Observation (Teacher and Principal Evaluation Policy),Leadership Opportunities (Retaining Effective Teachers Policy)
FL,3.0,4.0,4.0,5.0,6.0,1.0,1.0,5.0,5.0,4.0,3.0,6.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,6.0,2.0,1.0
MN,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0
MO,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,5.0
NJ,3.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,6.0,1.0,3.0,4.0,6.0,3.0,3.0,4.0,6.0,5.0,3.0,5.0,3.0
RI,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,1.0
SC,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,1.0
WA,3.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,6.0,4.0,3.0,2.0,4.0
AR,2.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,4.0,3.0,2.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0
CO,2.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,2.0,1.0
CT,2.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0
DE,2.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,6.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,1.0
DC,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0
HI,2.0,4.0,2.0,4.0,3.0,2.0,1.0,6.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0
IA,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,1.0,6.0,1.0,4.0,2.0,3.0,4.0
KS,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0
LA,2.0,5.0,3.0,5.0,5.0,6.0,6.0,4.0,2.0,6.0,2.0,6.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,6.0,3.0,5.0,4.0
MI,2.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,2.0,6.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,2.0,4.0
OR,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,1.0,5.0
UT,2.0,1.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,6.0
WI,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0
AL,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0
AK,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0
AZ,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0
GA,1.0,6.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,6.0,6.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0
ID,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,6.0,3.0,4.0,2.0,4.0
IN,1.0,2.0,4.0,5.0,1.0,1.0,1.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,6.0,2.0,4.0,4.0,3.0,4.0,5.0
ME,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0
MS,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0
MT,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
NE,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
NV,1.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0
NH,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NM,1.0,2.0,1.0,3.0,6.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0
ND,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0
OK,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,,2.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0
PA,1.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0
SD,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0
TX,1.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0
VT,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
VA,1.0,1.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,1.0,3.0
WY,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0
US,2.1,2.24,2.18,2.98,2.84,1.53,1.71,2.29,2.39,2.55,2.71,1.96,2.26,3.02,2.57,2.75,2.2,3.31,3.0,3.9,3.51,2.8,2.69
